belegen	
證明，證據	Er konnte seine Behauptungen durch Belege belegen. (他能通過證據證明自己的說法。)
erklären	
解釋，說明	Der Lehrer erklärte das Thema ausführlich. (老師詳細解釋了這個主題。)
vorstellen	
介紹，呈現	Ich möchte Ihnen unsere neue Produktlinie vorstellen. (我想向您介紹我們的新產品系列。)
vorstellen	
介紹，呈現	Ich möchte Ihnen unsere neue Produktlinie vorstellen. (我想向您介紹我們的新產品系列。)
aufklären	
說明，解釋	Der Experte hat die komplexen Sachverhalte aufgeklärt. (專家解釋了複雜的情況。)
aufklären	
說明，解釋	Der Experte hat die komplexen Sachverhalte aufgeklärt. (專家解釋了複雜的情況。)
aufklären	
說明，解釋	Der Experte hat die komplexen Sachverhalte aufgeklärt. (專家解釋了複雜的情況。)
ausdrücken	
表達	Er konnte seine Gefühle nicht richtig ausdrücken. (他無法正確表達自己的感情。)
ausdrücken	
表達	Er konnte seine Gefühle nicht richtig ausdrücken. (他無法正確表達自己的感情。)
ausdrücken	
表達	Er konnte seine Gefühle nicht richtig ausdrücken. (他無法正確表達自己的感情。)
